Date Updated,Product UUID,Product,Product Variant,Website,Prices
2022-03-21 14:20:20,w8s5f,Seagro Fertilizer,1L,PnP,R199
2022-03-21 14:20:22,65sdf,Seagro Fertilizer,1L,Builders Warehouse,R179
2022-03-21 14:20:23,s65d6,Seagro Fertilizer,5L,Builders Warehouse,R599
2022-03-21 14:20:24,f6s5d,BonsaiBoost Fertiliser,240x,BonsaiTree,R
2022-03-21 14:20:26,45s4s,Novalac,AR Digest,Clicks,R 322
2022-03-21 14:21:29,w8s5f,Seagro Fertilizer,1L,PnP,R199
2022-03-21 14:21:30,65sdf,Seagro Fertilizer,1L,Builders Warehouse,R179
2022-03-21 14:21:32,s65d6,Seagro Fertilizer,5L,Builders Warehouse,R599
2022-03-21 14:21:32,f6s5d,BonsaiBoost Fertiliser,240x,BonsaiTree,R
2022-03-21 14:21:34,45s4s,Novalac,AR Digest,Clicks,R 322
2022-03-21 16:04:08.811743,w8s5f,Seagro Fertilizer,1L,PnP,R199
2022-03-21 16:04:10.112894,65sdf,Seagro Fertilizer,1L,Builders Warehouse,R179
2022-03-21 16:04:11.357955,s65d6,Seagro Fertilizer,5L,Builders Warehouse,R599
2022-03-21 16:04:12.238096,f6s5d,BonsaiBoost Fertiliser,240x,BonsaiTree,R
2022-03-21 16:04:14.137808,45s4s,Novalac,AR Digest,Clicks,R 322
2022-03-21 16:11:32.897602,w8s5f,Seagro Fertilizer,1L,PnP,R199
2022-03-21 16:11:34.167617,65sdf,Seagro Fertilizer,1L,Builders Warehouse,R179
2022-03-21 16:11:35.587417,s65d6,Seagro Fertilizer,5L,Builders Warehouse,R599
2022-03-21 16:11:36.412620,f6s5d,BonsaiBoost Fertiliser,240x,BonsaiTree,R
2022-03-21 16:11:38.557465,45s4s,Novalac,AR Digest,Clicks,R 322
